Account,Followers,Quality_Audience,ER,Est_Post_Price,Avg_Reels_View,Category,Interests,Turkey,Comment_Rate,Score,Sponsored_Reels_View,Campaign_Reach,Performance_Ratio,Cost_Per_Reach,Link_Clicks,Cost_Per_Click,Actual_Campaign_Cost
kosifozlem,1349025,1135609,5.965419,3750.0,3012940,"Political Shows, Movies & TV Shows, Funny Videos, Romantic Relationships & Dating, TV Show, Love & Intimacy, Blended Families, Politics, TV Series, Entertainment","Politics : 78%, Film & Television : 71%, Social Issues : 67%, Unboxings : 44%, Entertainment : 43%, Fashion : 34%, Theater : 33%, Parenting & Relationships : 32%, Religion : 32%, Beauty : 25%, Business and Careers : 23%, Traveling : 21%, Makeup : 20%, Children's Games & Toys : 20%",70,0.14,90,,,,,,,
kadmfutbol,1293217,1117598,5.582706,3650.0,2787882,"Rugby, Handball, Football & Soccer, Sports, American Football, Baseball, Cricket, Volleyball, Hockey, Basketball","Baseball : 99%, Nutritious Foods : 98%, Boxing : 97%, Volleyball : 95%, Basketball : 93%, Fitness & Bodybuilding : 74%, Social Issues : 65%, Running & Athletics : 63%, Tennis : 61%, Science : 56%, American Football : 51%, Coffee Culture : 51%, Grilling & BBQ : 51%, Literature : 45%, Business and Careers : 39%, Video Gaming : 38%, Photography : 36%, Traveling : 33%, Pet Care : 32%, Sustainability : 31%, Surfing : 29%, AI & Machine Learning : 29%, Tea : 28%, Finance & Accounting : 28%, Unboxings : 27%",55,0.07,90,,,,,,,
ilaydamertl,1125225,986822,11.383457,3250.0,3802561,"Political Shows, Sales & Marketing, Romantic Relationships & Dating, Politics, Social Issues, Political Leaders, Love & Intimacy, Movies & TV Shows, Entertainment, Personal Computers","Entertainment : 61%, Politics : 61%, Social Issues : 60%, Film & Television : 56%, Fashion : 53%, Theater : 46%, Dance : 41%, Unboxings : 39%, Beauty : 39%, Business and Careers : 35%, Traveling : 33%, Music : 33%, Stand-up Comedy : 33%, Modeling : 29%, Parenting & Relationships : 27%, Luxury : 26%, Volleyball : 26%, Health & Medicine : 25%, Makeup : 24%, Finance & Accounting : 24%, Football & Soccer : 23%, Technology & Gadgets : 22%, Skincare : 21%",73,0.03,90,,,,,,,
guven8elvann,1111624,947881,7.222046,3150.0,2629033,"Love & Intimacy, Romantic Relationships & Dating, Memes, Political Shows, LGBTQ+, Movies & TV Shows, Social Issues, Sex & Sexuality, Politics, Friendship","Film & Television : 62%, Social Issues : 59%, Politics : 56%, Entertainment : 48%, Fashion : 47%, Traveling : 41%, Beauty : 40%, Unboxings : 38%, Theater : 37%, Makeup : 27%, Dance : 27%, Skincare : 27%, Parenting & Relationships : 26%, Modeling : 26%, Haircare : 25%, Luxury : 24%, Nail Care : 24%, Volleyball : 24%, Business and Careers : 24%, Religion : 24%, Health & Medicine : 21%, Hiking & Trekking : 21%, Cosplay : 20%, Music : 20%, Children's Games & Toys : 20%",71,0.06,90,,,,,,,
umutcannss,1043549,924897,8.778744,3050.0,1713273,"Social Issues, Politics, Political Leaders, Political Shows, Travel Agencies, Romantic Relationships & Dating, Movies & TV Shows, Cultural & Historical Travel, Friendship, Love & Intimacy","Film & Television : 80%, Politics : 79%, Social Issues : 77%, Entertainment : 58%, Traveling : 48%, Theater : 38%, Fashion : 35%, Unboxings : 30%, Beauty : 30%, Hiking & Trekking : 27%, Dance : 26%, Religion : 25%, Business and Careers : 25%, Music : 24%, Football & Soccer : 24%, Volleyball : 23%, Technology & Gadgets : 20%, Parenting & Relationships : 20%",84,0.04,90,,,,,,,
melikesahin,1084256,891041,6.859312,2950.0,2182541,"Theater, Headphones, Singer, Entertainment, Music Tour, Music, Political Shows, Movies & TV Shows, Pop Art, Cinema","Entertainment : 68%, Theater : 66%, Fashion : 61%, Film & Television : 52%, Beauty : 46%, Modeling : 44%, Music : 42%, Dance : 40%, Traveling : 39%, Politics : 32%, Luxury : 32%, Photography : 32%, Unboxings : 31%, Social Issues : 29%, Stand-up Comedy : 28%, Makeup : 24%",74,0.05,90,,,,,,,
dk_imamoglu,1002454,834743,6.032147,2750.0,1732753,"Religious Organizations, Religion & Spirituality, Social Organisations, Politics, Social Issues, Nonprofit Organizations, Social Studies Education, Political Leaders, Love & Intimacy, Pastor","Social Issues : 92%, Politics : 89%, Film & Television : 69%, Religion : 58%, Business and Careers : 55%, Philanthropy & Charity : 41%, Finance & Accounting : 39%, Entertainment : 38%, Unboxings : 35%, Theater : 31%, Educational : 30%, Parenting & Relationships : 30%, Meditative Practices : 23%, Football & Soccer : 23%, Health & Medicine : 23%, Traveling : 22%, Fashion : 20%",76,0.09,90,,,,,,,
saancez,968760,834586,5.509827,2750.0,2517305,"Toddler Activities, Motherhood, Blended Families, Family & Parenting, Parenting Hacks & Tips, Children Wear, Newborn Care, Kids, Single Parenting, Baby Fashion","Fashion : 52%, Parenting & Relationships : 51%, Unboxings : 46%, Children's Games & Toys : 41%, Beauty : 40%, Entertainment : 35%, Film & Television : 34%, Social Issues : 34%, Politics : 34%, Health & Medicine : 28%, Skincare : 28%, Luxury : 27%, Modeling : 27%, Traveling : 27%, Makeup : 26%, Dance : 26%, Theater : 25%, Business and Careers : 21%, Haircare : 21%, Philanthropy & Charity : 21%, Yoga : 21%",72,0.03,90,,,,,,,
egefitness,936783,831207,5.153221,3250.0,915759,"Gym & Fitness, Weightlifting, Bodybuilding, Gymnastics, Stretching, Cardio Training, Functional Training, Powerlifting, Men's Health, Martial Arts","Fitness & Bodybuilding : 97%, Physics : 94%, Yoga : 94%, Wrestling : 89%, Boxing : 79%, Running & Athletics : 75%, Health & Medicine : 72%, Traveling : 58%, Volleyball : 49%, Fashion : 40%, Basketball : 36%, Hiking & Trekking : 34%, Beauty : 34%, Science : 32%, Dance : 32%, Social Issues : 28%, Biology : 28%, Modeling : 27%, Football & Soccer : 22%, Snowboarding : 22%, Film & Television : 21%, Entertainment : 20%, Luxury : 20%, Politics : 20%, Motorsports : 20%",75,0.02,90,,,,,,,
tuananaztiryaki,1088289,811428,5.703816,2850.0,15208666,"Shopping & Fashion Travel, Theater, Formal Wear, Romantic Relationships & Dating, Fashion, Fashion Trends, Entertainment, Lingerie & Intimates, Luxury Fashion, Singer","Fashion : 73%, Beauty : 62%, Film & Television : 52%, Modeling : 51%, Traveling : 49%, Politics : 46%, Entertainment : 45%, Luxury : 44%, Theater : 41%, Unboxings : 38%, Social Issues : 32%, Makeup : 32%, Dance : 31%, Photography : 24%, Parenting & Relationships : 23%, Skincare : 23%, Music : 22%",61,1.55,80,,,,,,,
sumeyya.suleyman,1019616,782453,10.971581,2600.0,5763641,"Motherhood, Parenting Hacks & Tips, Family & Parenting, Single Parenting, Newborn Care, Blended Families, Toddler Activities, Child Health, Children Wear, Baby Food & Nutrition","Anime, Manga & Comics : 61%, Dance : 50%, Social Issues : 45%, Sustainability : 43%, Science : 41%, Business and Careers : 39%, Music : 37%, AI & Machine Learning : 36%, Parenting & Relationships : 34%, Beauty : 30%, Skincare : 27%, Fashion : 25%, Architecture & Design : 25%, Motorcycles : 24%, Finance & Accounting : 24%, History : 22%, Literature : 22%, Makeup : 22%, Traveling : 21%, Haircare : 20%",57,0.05,80,,,,,,,
ibrahim8meltem,915679,773107,6.621753,2550.0,1454521,"Romantic Relationships & Dating, Love & Intimacy, Movies & TV Shows, Political Shows, Entertainment, Actors or Actress, Sex & Sexuality, Funny Videos, Political Leaders, Social Issues","Film & Television : 65%, Entertainment : 59%, Politics : 58%, Social Issues : 53%, Fashion : 51%, Theater : 43%, Beauty : 39%, Unboxings : 38%, Dance : 37%, Traveling : 31%, Parenting & Relationships : 30%, Modeling : 29%, Makeup : 26%, Luxury : 24%, Business and Careers : 24%, Health & Medicine : 24%, Music : 24%, Skincare : 21%, Children's Games & Toys : 21%, Religion : 20%",68,0.07,90,,,,,,,
benyunusyilmaz,870698,739048,6.738272,2450.0,3690548,"Political Shows, Movies & TV Shows, Funny Videos, Entertainment, Politics, Social Issues, Political Leaders, Memes, Social Organisations, Romantic Relationships & Dating","Film & Television : 81%, Social Issues : 80%, Politics : 78%, Entertainment : 66%, Theater : 44%, Unboxings : 34%, Religion : 31%, Business and Careers : 30%, Technology & Gadgets : 29%, Music : 24%, Fashion : 23%, Dance : 22%, Cosplay : 22%, Beauty : 21%, Parenting & Relationships : 21%",77,0.05,90,,,,,,,
kaangungoor,799311,698757,5.756958,2350.0,1588244,"Political Shows, Movies & TV Shows, Funny Videos, Social Issues, Politics, Entertainment, Friendship, Political Leaders, TV Show, Social Organisations","Politics : 88%, Social Issues : 87%, Film & Television : 85%, Entertainment : 61%, Religion : 41%, Theater : 34%, Technology & Gadgets : 34%, Business and Careers : 31%, Unboxings : 29%, Philanthropy & Charity : 23%, Music : 23%, Cosplay : 21%, Finance & Accounting : 21%, Parenting & Relationships : 20%, Video Gaming : 20%",75,0.09,90,,,,,,,
ankaraabisiiyilikdernegi,774219,683170,6.346718,2250.0,1217808,"Love & Intimacy, Romantic Relationships & Dating, Religious Organizations, Family & Parenting, Parenting Hacks & Tips, Social Issues, Blended Families, Religion & Spirituality, Politics, Political Shows","Politics : 84%, Social Issues : 83%, Film & Television : 62%, Religion : 50%, Business and Careers : 46%, Philanthropy & Charity : 43%, Unboxings : 41%, Parenting & Relationships : 40%, Entertainment : 36%, Theater : 26%, Finance & Accounting : 25%, Children's Games & Toys : 24%, Fashion : 24%, Health & Medicine : 23%, Educational : 22%, Beauty : 22%, Meditative Practices : 20%",76,0.19,90,,,,,,,
snnnirem,825938,672726,5.143909,2200.0,1484424,"Kids Fashion, Shopping & Fashion Travel, Baby Fashion, Maternity Fashion, Children Wear, Lingerie & Intimates, Luxury Fashion, Fashion, Fashion Trends, Formal Wear","Fashion : 73%, Beauty : 67%, Luxury : 53%, Modeling : 51%, Unboxings : 43%, Parenting & Relationships : 43%, Traveling : 40%, Makeup : 36%, Skincare : 35%, Children's Games & Toys : 28%, Health & Medicine : 26%, Haircare : 24%, Nail Care : 20%",58,0.09,90,,,,,,,
aleynabeyazgul,763870,671441,6.270177,2200.0,1848496,"Women's Health, Gym & Fitness, Bodybuilding, Healthy Eating, Weightlifting, Swimwear, Lingerie & Intimates, Activewear, Health & Medicine, Health Issues","Fashion : 82%, Beauty : 77%, Modeling : 57%, Traveling : 53%, Luxury : 50%, Health & Medicine : 45%, Makeup : 41%, Fitness & Bodybuilding : 38%, Yoga : 37%, Skincare : 31%, Unboxings : 31%, Haircare : 26%, Parenting & Relationships : 26%, Dance : 23%",67,0.04,90,,,,,,,
ilkergumusoluk,634022,550457,6.800158,1860.0,1790460,"Romantic Relationships & Dating, Love & Intimacy, Religious Organizations, Politics, Political Leaders, Political Shows, Social Issues, Blended Families, Family & Parenting, Kids Education","Social Issues : 83%, Politics : 79%, Film & Television : 68%, Religion : 54%, Business and Careers : 54%, Entertainment : 46%, Parenting & Relationships : 42%, Philanthropy & Charity : 41%, Unboxings : 40%, Theater : 33%, Finance & Accounting : 33%, Fashion : 27%, Educational : 27%, Beauty : 25%, Health & Medicine : 25%, Meditative Practices : 21%, Music : 20%",77,0.08,90,,,,,,,
cerennzi,623697,545984,9.997563,1805.0,1865663,"Sales & Marketing, Kids Fashion, Shopping & Fashion Travel, Fashion Trends, Workwear, Lingerie & Intimates, Political Shows, Politics, Accessories, Formal Wear","Fashion : 58%, Politics : 57%, Film & Television : 52%, Unboxings : 48%, Beauty : 47%, Entertainment : 39%, Luxury : 38%, Social Issues : 37%, Modeling : 37%, Makeup : 32%, Theater : 31%, Traveling : 31%, Parenting & Relationships : 31%, Skincare : 30%, Business and Careers : 29%, Health & Medicine : 27%, Haircare : 25%, Nail Care : 24%, Technology & Gadgets : 22%, Dance : 22%, Finance & Accounting : 20%",76,0.06,90,,,,,,,
emircanigrek,560772,506264,8.635239,1675.0,1114104,"Music Tour, Singer, Music, Headphones, Social Clubs, Theater, Cultural & Historical Travel, Entertainment, Romantic Relationships & Dating, Travel","Entertainment : 73%, Theater : 67%, Traveling : 61%, Film & Television : 56%, Dance : 56%, Music : 45%, Social Issues : 43%, Fashion : 41%, Hiking & Trekking : 39%, Stand-up Comedy : 33%, Politics : 32%, Beauty : 30%, Modeling : 26%, Photography : 25%, Unboxings : 23%, Luxury : 21%",81,0.08,90,,,,,,,
eda.akgunn,596889,501685,13.243752,1670.0,2252475,"Motorbikes, Vehicles, Cars, Bicycles, Cycling, Mountain Biking, Electric Cars","Motorsports : 101%, Automobiles : 101%, Motorcycles : 99%, Skateboarding : 95%, Snowboarding : 83%, Technology & Gadgets : 64%, Hiking & Trekking : 38%, Politics : 36%, Film & Television : 36%, Traveling : 26%, Social Issues : 22%, Surfing : 21%",58,0.13,90,,,,,,,
hollywoodyuzleri,574751,479514,4.531615,1925.0,3218715,"Fashion Trends, Adult Modelling, Fashion, Kids Fashion, Women's Fashion, Lingerie & Intimates, Shopping & Fashion Travel, Beauty, Luxury Fashion, Modelling","Fashion : 76%, Beauty : 69%, Modeling : 60%, Luxury : 48%, Film & Television : 48%, Entertainment : 42%, Theater : 41%, Makeup : 40%, Traveling : 37%, Unboxings : 30%, Dance : 27%, Politics : 26%, Skincare : 26%, Haircare : 23%, Photography : 23%, Social Issues : 22%, Nail Care : 21%, Parenting & Relationships : 20%",55,0.17,90,,,,,,,
bongomytv,545127,467718,5.549624,1865.0,206690,"Romantic Relationships & Dating, Love & Intimacy, Political Shows, Politics, Social Issues, Memes, Political Leaders, Movies & TV Shows, Friendship, Blended Families","Politics : 65%, Social Issues : 63%, Film & Television : 62%, Entertainment : 53%, Fashion : 46%, Unboxings : 43%, Business and Careers : 40%, Theater : 39%, Beauty : 39%, Parenting & Relationships : 32%, Dance : 31%, Traveling : 29%, Religion : 29%, Music : 28%, Finance & Accounting : 27%, Volleyball : 27%, Luxury : 26%, Stand-up Comedy : 26%, Modeling : 26%, Health & Medicine : 26%, Makeup : 26%, Philanthropy & Charity : 25%, Skincare : 25%, Football & Soccer : 24%, Technology & Gadgets : 22%",76,0.09,90,,,,,,,
eagle5yt,549737,460074,7.484215,1535.0,2100812,,,62,0.26,90,,,,,,,
benaspenya,521781,458123,4.739153,1805.0,1358648,"Funny Videos, Cosplay, Actors or Actress, Memes, Beauty Tips & Hacks, Kids Fashion, Makeup, Lingerie & Intimates, Parody & Sketches, Movies & TV Shows","Film & Television : 61%, Fashion : 61%, Beauty : 58%, Entertainment : 55%, Cosplay : 48%, Makeup : 37%, Dance : 37%, Modeling : 34%, Unboxings : 33%, Politics : 28%, Anime, Manga & Comics : 28%, Video Gaming : 27%, Traveling : 27%, Theater : 27%, Skincare : 26%, Luxury : 26%, Haircare : 26%, Nail Care : 22%, Technology & Gadgets : 20%",65,0.1,90,,,,,,,
hasanardakasikci,516409,456505,5.009692,1530.0,731359,"Funny Videos, Gaming, Gaming Consoles, Memes, Cosplay, Entertainment, Movies & TV Shows","Film & Television : 85%, Entertainment : 80%, Politics : 74%, Video Gaming : 64%, Social Issues : 61%, Cosplay : 51%, Technology & Gadgets : 40%, Theater : 33%, Dance : 32%, Anime, Manga & Comics : 24%, Beauty : 23%, Football & Soccer : 22%, American Football : 22%, Music : 21%, Business and Careers : 21%",74,0.04,90,,,,,,,
mehmetkahramanm,506254,445149,13.494906,1475.0,2232811,"Entertainment, Movies & TV Shows, Funny Videos, Political Shows, TV Show, Singer, Headphones, Actors or Actress","Entertainment : 70%, Film & Television : 69%, Politics : 65%, Social Issues : 55%, Theater : 51%, Dance : 43%, Fashion : 42%, Music : 40%, Traveling : 37%, Beauty : 30%, Volleyball : 30%, Unboxings : 29%, Football & Soccer : 26%, Stand-up Comedy : 26%, Business and Careers : 25%, Parenting & Relationships : 23%, Religion : 22%, Modeling : 22%, Makeup : 21%",77,0.05,90,,,,,,,
heytuvba,597592,435345,9.673992,1465.0,1454280,"Love & Intimacy, Romantic Relationships & Dating, Motherhood, Children Wear, Kids Fashion, Family & Parenting, Lingerie & Intimates, Parenting Hacks & Tips, Kids, Maternity Fashion","Beauty : 53%, Fashion : 52%, Unboxings : 46%, Parenting & Relationships : 42%, Film & Television : 41%, Makeup : 37%, Skincare : 35%, Politics : 34%, Luxury : 33%, Entertainment : 29%, Traveling : 28%, Modeling : 28%, Children's Games & Toys : 28%, Haircare : 28%, Health & Medicine : 28%, Social Issues : 28%, Nail Care : 27%, Theater : 26%",74,0.03,80,,,,,,,
senasznoztas,503364,427054,5.860371,1460.0,1490473,"Romantic Relationships & Dating, Love & Intimacy, Shopping & Fashion Travel, Travel Agencies, Travel, Lingerie & Intimates, Formal Wear, Cultural & Historical Travel, Sex & Sexuality, Swimwear","Fashion : 73%, Traveling : 64%, Beauty : 64%, Politics : 51%, Film & Television : 50%, Unboxings : 45%, Modeling : 42%, Luxury : 42%, Social Issues : 42%, Makeup : 30%, Parenting & Relationships : 29%, Theater : 29%, Entertainment : 28%, Skincare : 25%, Health & Medicine : 25%, Hiking & Trekking : 24%, Dance : 22%, Yoga : 20%, Photography : 20%, Haircare : 20%, Business and Careers : 20%",78,0.01,90,,,,,,,
mahmutruveyda,471427,408444,6.991645,1395.0,1563344,"Motherhood, Family & Parenting, Parenting Hacks & Tips, Blended Families, Romantic Relationships & Dating, Love & Intimacy, Single Parenting, Children Wear, Newborn Care, Toddler Activities","Politics : 64%, Social Issues : 61%, Parenting & Relationships : 51%, Unboxings : 47%, Film & Television : 45%, Fashion : 37%, Business and Careers : 37%, Beauty : 35%, Religion : 32%, Entertainment : 25%, Traveling : 24%, Philanthropy & Charity : 24%, Makeup : 24%, Skincare : 24%, Children's Games & Toys : 23%, Health & Medicine : 23%, Luxury : 22%, Theater : 21%, Finance & Accounting : 21%",70,0.09,90,,,,,,,
asenaaolgun,437861,404189,24.053295,1340.0,1435874,,,70,0.07,90,,,,,,,
secularturkey,491367,399186,5.604772,1335.0,1298240,"Political Shows, Social Clubs, Politics, Cultural & Historical Travel, Political Leaders, Social Issues, Romantic Relationships & Dating, Church, Movies & TV Shows, Friendship","Social Issues : 71%, Film & Television : 70%, Politics : 69%, Entertainment : 51%, Theater : 51%, Fashion : 35%, Unboxings : 34%, Traveling : 32%, Beauty : 31%, Religion : 26%, Music : 24%, Hiking & Trekking : 24%, Business and Careers : 23%, Modeling : 22%, Luxury : 22%, Parenting & Relationships : 21%, Dance : 21%",63,0.03,80,,,,,,,
rakinin_delisi,449216,393782,11.945812,1335.0,1196432,"Food & Beverages, Beverages, Restaurants & Bars, Coffee, Cocktails, Food, Food Reviews, Desserts, Cooking, Recipes","Politics : 59%, Coffee Culture : 59%, Gastronomy : 59%, Social Issues : 50%, Film & Television : 49%, Cooking : 47%, Dining & Nightlife : 43%, Grilling & BBQ : 40%, Fashion : 39%, Traveling : 34%, Unboxings : 31%, Beauty : 29%, Nutritious Foods : 29%, Theater : 28%, Entertainment : 27%, Parenting & Relationships : 21%, Luxury : 21%, Modeling : 21%, Business and Careers : 20%",58,0.14,90,,,,,,,
mehmetberberoglu__,445058,381592,4.852177,1530.0,889763,"Cars, Vehicles, Motorbikes, Electric Cars, Luxury Cars","Motorcycles : 101%, Automobiles : 99%, Motorsports : 99%, Technology & Gadgets : 93%, Skateboarding : 86%, Aviation : 54%, Politics : 51%, AI & Machine Learning : 48%, Film & Television : 47%, Social Issues : 36%, Stand-up Comedy : 34%, Entertainment : 33%, Snowboarding : 30%, American Football : 26%, Football & Soccer : 26%, Theater : 24%, Baseball : 20%",72,0.07,90,,,,,,,
bykmotovlog,441541,373808,16.799119,1265.0,771166,"Motorbikes, Vehicles, Cars, Electric Cars, Bicycles, Cycling","Automobiles : 99%, Motorsports : 98%, Motorcycles : 97%, Skateboarding : 86%, Technology & Gadgets : 84%, Politics : 53%, Film & Television : 52%, Entertainment : 47%, Snowboarding : 40%, Social Issues : 28%, AI & Machine Learning : 28%, Theater : 27%, Stand-up Comedy : 23%",74,0.13,90,,,,,,,
efruzaydin,400880,364279,8.392162,1260.0,1693652,"Movies & TV Shows, Actors or Actress, Political Shows, Politics, Entertainment, Romantic Relationships & Dating, Political Leaders, Social Issues, Standup, Love & Intimacy","Film & Television : 69%, Entertainment : 64%, Politics : 57%, Social Issues : 51%, Fashion : 50%, Traveling : 46%, Theater : 44%, Beauty : 38%, Dance : 36%, Modeling : 29%, Unboxings : 27%, Music : 26%, Stand-up Comedy : 24%, Hiking & Trekking : 24%, Luxury : 23%, Photography : 23%, Makeup : 21%, Volleyball : 20%",80,0.1,90,,,,,,,
